kind,horizontal
y_um_requested,0.05
y_um_used,0.05
x_um,C_cm3
1.355,1.00000001587e+15
1.36,1.00000000101e+15
1.365,1.00000000006e+15
1.37,1e+15
1.375,1e+15
1.38,1e+15
1.385,1e+15
1.39,1e+15
1.395,1e+15
1.4,1e+15
1.405,1e+15
1.41,1e+15
1.415,1e+15
1.42,1e+15
1.425,1e+15
1.43,1e+15
1.435,1e+15
1.44,1e+15
1.445,1e+15
1.45,1e+15
1.455,1e+15
1.46,1e+15
1.465,1e+15
1.47,1e+15
1.475,1e+15
1.48,1e+15
1.485,1e+15
1.49,1e+15
1.495,1e+15
1.5,1e+15
1.505,1e+15
1.51,1e+15
1.515,1e+15
1.52,1e+15
1.525,1e+15
1.53,1e+15
1.535,1e+15
1.54,1e+15
1.545,1e+15
1.55,1e+15
1.555,1e+15
1.56,1e+15
1.565,1e+15
1.57,1e+15
1.575,1e+15
1.58,1e+15
1.585,1e+15
1.59,1e+15
1.595,1e+15
1.6,1e+15
1.605,1e+15
1.61,1e+15
1.615,1e+15
1.62,1e+15
1.625,1e+15
1.63,1e+15
1.635,1e+15
1.64,1e+15
1.645,1e+15
1.65,1e+15
1.655,1e+15
1.66,1e+15
1.665,1e+15
1.67,1e+15
1.675,1e+15
1.68,1e+15
1.685,1e+15
1.69,1e+15
1.695,1e+15
1.7,1e+15
1.705,1e+15
1.71,1e+15
1.715,1e+15
1.72,1e+15
1.725,1e+15
1.73,1e+15
1.735,1e+15
1.74,1e+15
1.745,1e+15
1.75,1e+15
1.755,1e+15
1.76,1e+15
1.765,1e+15
1.77,1e+15
1.775,1e+15
1.78,1e+15
1.785,1e+15
1.79,1e+15
1.795,1e+15
1.8,1e+15
1.805,1e+15
1.81,1e+15
1.815,1e+15
1.82,1e+15
1.825,1e+15
1.83,1e+15
1.835,1e+15
1.84,1e+15
1.845,1e+15
1.85,1e+15
1.855,1e+15
1.86,1e+15
1.865,1e+15
1.87,1e+15
1.875,1e+15
1.88,1e+15
1.885,1e+15
1.89,1e+15
1.895,1e+15
1.9,1e+15
1.905,1e+15
1.91,1e+15
1.915,1e+15
1.92,1e+15
1.925,1e+15
1.93,1e+15
1.935,1e+15
1.94,1e+15
1.945,1e+15
1.95,1e+15
1.955,1e+15
1.96,1e+15
1.965,1e+15
1.97,1e+15
1.975,1e+15
1.98,1e+15
1.985,1e+15
1.99,1e+15
1.995,1e+15
2,1e+15
